Date, Close, Open, High, Low
01/03/2020,$291.73,$290.05,$292.90,$289.33
01/02/2020,$291.49,$294.06,$294.58,$291
12/31/2019,$293.92,$295,$295.45,$292.18
12/30/2019,$295.14,$294.20,$295.61,$293.66
12/27/2019,$294.11,$296.22,$296.30,$293.18
12/26/2019,$295.73,$294.49,$295.73,$293.90
12/24/2019,$294.23,$293.91,$294.45,$293.36
12/23/2019,$293.31,$294.91,$295.31,$293.03
12/20/2019,$294.83,$293.85,$295.02,$292.78
12/19/2019,$293.71,$292.06,$293.81,$291.50
12/18/2019,$291.87,$295.99,$296.36,$291.82
12/17/2019,$295.55,$293.50,$296.30,$292.75
12/16/2019,$293.50,$293.03,$294.46,$292.85
12/13/2019,$291.87,$294.64,$295,$289.10
12/12/2019,$297.34,$295.27,$297.76,$294.12
12/11/2019,$295.30,$296,$296.35,$293.05
12/10/2019,$295.78,$296.03,$296.69,$294.55
12/09/2019,$295.16,$295,$297.19,$294.55
12/06/2019,$294.95,$294.98,$295.99,$294.26
12/05/2019,$293.10,$297.13,$297.13,$292.50
12/04/2019,$296.52,$296.04,$297.16,$295.15
12/03/2019,$295.67,$295.13,$296.19,$292.70
12/02/2019,$297.39,$299.75,$300.20,$294.27
11/29/2019,$299.81,$300.82,$300.89,$299.66
11/27/2019,$300.76,$301.82,$302.79,$300.57
11/26/2019,$301.24,$299.26,$301.35,$298.82
11/25/2019,$299.05,$300.29,$300.63,$297.55
11/22/2019,$299.31,$301.94,$301.94,$297.23
11/21/2019,$300.27,$300.69,$301.87,$299.52
11/20/2019,$300.57,$302.44,$303.17,$298.01
11/19/2019,$302.24,$304.50,$304.64,$301.45
11/18/2019,$304.54,$303.11,$306.38,$302.75
11/15/2019,$303.66,$305.31,$305.44,$301.60
11/14/2019,$304.59,$304.39,$305.89,$302.27
11/13/2019,$302.90,$300.18,$304,$299.52
11/12/2019,$300.50,$300.83,$302.73,$298.66
11/11/2019,$300.84,$301.55,$302.33,$299.70
11/08/2019,$302.62,$302.74,$304.29,$301.28
11/07/2019,$305.21,$303.93,$307.10,$302.48
11/06/2019,$301.57,$299.97,$301.65,$297.93
11/05/2019,$299.18,$297.09,$299.69,$295.81
11/04/2019,$296.82,$297.16,$298.22,$295.17
11/01/2019,$296.09,$297.99,$298.42,$295.50
10/31/2019,$297.11,$298.36,$299.62,$294.55
10/30/2019,$299.84,$296.92,$300.25,$295.97
10/29/2019,$295.86,$298.21,$298.94,$295.81
10/28/2019,$298.94,$295.70,$299.09,$295.21
10/25/2019,$296.50,$295.52,$297.25,$295.11
10/24/2019,$297.05,$295.05,$298.28,$294.56
10/23/2019,$297.32,$299.58,$300.05,$297.18
10/22/2019,$299.97,$301.61,$304.88,$299.95
10/21/2019,$301.08,$303,$303.51,$300.17
10/18/2019,$302.86,$302,$304,$300.98
10/17/2019,$302.40,$298.85,$302.61,$298.85
10/16/2019,$298.78,$296.80,$298.97,$295.08
10/15/2019,$298.39,$298.32,$299.64,$297.23
10/14/2019,$297.52,$298,$300.34,$297.50
10/11/2019,$297.60,$298.07,$300.76,$297.36
10/10/2019,$297.14,$298.63,$299.48,$296.26
10/09/2019,$296.90,$293.11,$298.57,$293.11
10/08/2019,$291.89,$292.95,$295.58,$290.45
10/07/2019,$293.41,$291.04,$295.69,$290.50
10/04/2019,$291.67,$287.85,$291.95,$283.32
10/03/2019,$289,$285.39,$290.86,$281.60
10/02/2019,$285.11,$283.23,$285.79,$282.22
10/01/2019,$283.93,$288.04,$288.68,$283.18
09/30/2019,$288.11,$287.70,$288.62,$286.57
09/27/2019,$285.95,$289.53,$289.53,$284.40
09/26/2019,$288.26,$289.43,$289.81,$286.60
09/25/2019,$288.51,$288.26,$289.68,$286.87
09/24/2019,$287.91,$289.30,$292.62,$286.40
09/23/2019,$287.57,$286.36,$288.13,$285.75
09/20/2019,$286.36,$288.75,$289.41,$286.14
09/19/2019,$287.83,$289.49,$289.76,$284.71
09/18/2019,$292.43,$290.70,$293.57,$288.80
09/17/2019,$291.41,$289.56,$291.79,$288.69
09/16/2019,$288.69,$290.57,$291.38,$288.34
09/13/2019,$291.90,$290.20,$294.07,$289.85
09/12/2019,$289.89,$290.34,$292.75,$288.68
09/11/2019,$290.69,$294.30,$295.74,$287.81
09/10/2019,$297,$297.38,$298.25,$294.58
09/09/2019,$299,$304.50,$307.34,$298.21
09/06/2019,$303.76,$299.20,$304.64,$298.29
09/05/2019,$296.97,$298.43,$299.71,$296.68
09/04/2019,$296.12,$294,$296.30,$293.77
09/03/2019,$292.05,$292.57,$294,$290.46
08/30/2019,$294.76,$298,$298.28,$292.83
08/29/2019,$296.57,$297.48,$297.73,$292.76
08/28/2019,$294.49,$293.75,$299.95,$292.42
08/27/2019,$292.38,$281,$293.44,$280.34
08/26/2019,$278.46,$275.75,$278.53,$275.69
08/23/2019,$274.01,$278.21,$280.13,$272.70
08/22/2019,$279.92,$277.01,$280.99,$276.87
08/21/2019,$275.68,$275.41,$276.54,$274.70
08/20/2019,$272.97,$276.28,$276.36,$272.85
08/19/2019,$275.61,$276.41,$277.38,$274.55
08/16/2019,$274.10,$274.10,$276.07,$273.44
08/15/2019,$271.52,$270.53,$272.97,$268.77
08/14/2019,$268.15,$274,$275.36,$268
08/13/2019,$276.26,$271.18,$278.16,$270.01
08/12/2019,$271.31,$274.03,$274.98,$269.30
08/09/2019,$273.94,$274.58,$275.47,$271.91
08/08/2019,$274.80,$273.04,$274.84,$271
08/07/2019,$274.30,$268.18,$274.86,$263.59
08/06/2019,$269.31,$266.47,$270.23,$264.05
08/05/2019,$265.10,$270.09,$270.55,$262.71
08/02/2019,$272.50,$274.30,$274.94,$270.50
08/01/2019,$274.57,$275.75,$280.93,$274.31
07/31/2019,$275.63,$279.02,$279.72,$272.63
07/30/2019,$279.50,$280.27,$280.57,$279.10
07/29/2019,$280.13,$281.01,$281.30,$279.54
07/26/2019,$281.37,$279.80,$281.77,$279.12
07/25/2019,$279.80,$281.20,$281.94,$279.34
07/24/2019,$280.83,$279.83,$281.24,$279.01
07/23/2019,$280.10,$281.85,$282.08,$279.02
07/22/2019,$280.17,$281.22,$282.32,$279.32
07/19/2019,$281.51,$283.07,$284.31,$281.35
07/18/2019,$282.91,$282.20,$283.06,$279.19
07/17/2019,$281.56,$281.05,$282.85,$280.22
07/16/2019,$280.65,$281,$281.37,$279.78
07/15/2019,$280.58,$279.94,$280.70,$278.90
07/12/2019,$279.44,$276.50,$280,$276.01
07/11/2019,$276.54,$272.33,$276.77,$271.81
07/10/2019,$271.42,$270.05,$271.53,$269.34
07/09/2019,$269.97,$269.36,$270.78,$268.49
07/08/2019,$269.40,$268.33,$269.69,$267.35
07/05/2019,$268.25,$268.20,$268.61,$266.27
07/03/2019,$269.14,$265.14,$269.16,$265.14
07/02/2019,$265.47,$263.92,$265.57,$261.67
07/01/2019,$263.55,$266.43,$267,$261.84
06/28/2019,$264.26,$265.50,$266.39,$263.36
