Date, Close/Last, Volume, Open, High, Low
06/27/2019,$265.58,1122854,$264.90,$266.48,$262.99
06/26/2019,$264.41,1334353,$266.45,$266.82,$264.34
06/25/2019,$266.36,1182443,$266.71,$267.08,$265.36
06/24/2019,$266.77,1586110,$267.31,$267.97,$266.52
06/21/2019,$266.13,2964243,$266.77,$268.94,$265.99
06/20/2019,$267.35,1745108,$265,$267.79,$264.55
06/19/2019,$263.66,1628489,$262.31,$264.10,$260.94
06/18/2019,$262.74,2763187,$263.61,$264.20,$262.05
06/17/2019,$261.43,1192307,$261.13,$262.25,$260.43
06/14/2019,$260.15,1288089,$260,$261.20,$258.91
06/13/2019,$259.71,1228541,$257.71,$259.87,$257.55
06/12/2019,$257.23,1071667,$257.58,$258.75,$255.77
06/11/2019,$257.11,1613472,$258.91,$259.62,$256.21
06/10/2019,$256.85,1839825,$256.40,$258.83,$256.11
06/07/2019,$256.01,2270617,$251.16,$256.60,$251.02
06/06/2019,$251.21,1487759,$248,$251.94,$247.74
06/05/2019,$247.96,1825514,$246.10,$248.76,$245.02
06/04/2019,$245.61,1761622,$243,$245.82,$242.50
06/03/2019,$241.07,2512452,$239.78,$241.54,$238.08
05/31/2019,$239.58,4058490,$238.98,$240.66,$233.05
05/30/2019,$241.54,2030255,$242.15,$243.58,$240.75
05/29/2019,$240.69,2594886,$244.13,$244.77,$238.91
05/28/2019,$246.31,3164140,$248.58,$250.20,$246.14
05/24/2019,$247.30,1340428,$249.11,$249.56,$246.77
05/23/2019,$248.53,1822807,$248.63,$249.92,$247.18
05/22/2019,$249.51,1242294,$251.01,$251.01,$249.14
05/21/2019,$249.93,1504191,$249.11,$250.83,$248.10
05/20/2019,$248.90,1600493,$247.15,$249.94,$247.15
05/17/2019,$248.35,1672148,$245.88,$250.05,$245.59
05/16/2019,$247.44,1801038,$245.63,$249.73,$245.21
05/15/2019,$244.67,1194788,$242.11,$245.40,$241.23
05/14/2019,$242.73,1635179,$242.29,$245.09,$241.81
05/13/2019,$241.92,1962786,$244.12,$244.93,$240.67
05/10/2019,$247.02,2036492,$242.94,$248.55,$240.03
05/09/2019,$243.47,1919368,$240.66,$244.06,$240.16
05/08/2019,$241.34,1611887,$239.56,$243.05,$238.19
05/07/2019,$240.18,1775187,$241.72,$242.74,$238.22
05/06/2019,$244.23,1195175,$242.85,$244.83,$242.06
05/03/2019,$244.62,905868,$243.27,$244.88,$242.72
05/02/2019,$242.69,1237645,$241.76,$242.89,$240.42
05/01/2019,$241.59,1350376,$245.34,$245.46,$241.55
04/30/2019,$245.53,1423880,$244.77,$245.79,$243.02
04/29/2019,$244.28,1334370,$245,$245.75,$243.49
04/26/2019,$243.82,1735863,$245.62,$245.89,$242.06
04/25/2019,$245.60,1227801,$246.21,$247.15,$243.94
04/24/2019,$247.96,1153487,$245.68,$248.70,$245.60
04/23/2019,$245.58,1511387,$244.65,$246.53,$242.21
04/22/2019,$243.42,1299979,$245.19,$245.77,$242.56
04/18/2019,$245.81,1364894,$246.79,$247.25,$244.70
04/17/2019,$245.56,1291248,$246.30,$246.46,$244.32
04/16/2019,$245.34,1358873,$246.65,$246.82,$244.25
