Date,Open,High,Low,Close
2015-01-05,53.869999,53.869999,53.869999,53.869999
2015-01-06,53.869999,53.869999,53.869999,53.869999
2015-01-07,53.869999,53.869999,53.869999,53.869999
2015-01-08,53.869999,53.869999,53.869999,53.869999
2015-01-09,53.869999,53.869999,53.869999,53.869999
2015-01-12,53.869999,53.869999,53.869999,53.869999
2015-01-13,53.869999,53.869999,53.869999,53.869999
2015-01-14,53.869999,53.869999,53.869999,53.869999
2015-01-15,49.52,49.52,49.48,49.48
2015-01-16,49.48,49.48,49.48,49.48
2015-01-20,50.110001,50.110001,49.07,49.07
2015-01-21,49.130001,49.130001,48.450001,48.450001
2015-01-22,48.450001,48.450001,48.450001,48.450001
2015-01-23,49.279999,49.279999,49.279999,49.279999
2015-01-26,49.279999,49.279999,49.279999,49.279999
2015-01-27,48.75,50.25,48.75,50.25
2015-01-28,50.25,50.25,50.25,50.25
2015-01-29,49.869999,49.869999,49.869999,49.869999
2015-01-30,49.869999,49.869999,49.869999,49.869999
2015-02-02,49.869999,49.869999,49.869999,49.869999
2015-02-03,49.869999,49.869999,49.869999,49.869999
2015-02-04,49.630001,49.630001,49.630001,49.630001
2015-02-05,49.630001,49.630001,49.630001,49.630001
2015-02-06,49.59,49.59,49.59,49.59
2015-02-09,49.59,49.59,49.59,49.59
2015-02-10,48.77,48.77,48.77,48.77
2015-02-11,50.02,50.02,50.02,50.02
2015-02-12,50.75,50.75,50.75,50.75
2015-02-13,50.540001,50.540001,50.52,50.52
2015-02-17,50.52,50.52,50.52,50.52
2015-02-18,51.02,51.02,51.02,51.02
2015-02-19,51.02,51.02,51.02,51.02
2015-02-20,51.549999,51.549999,51.540001,51.540001
2015-02-23,51.549999,51.549999,51.549999,51.549999
2015-02-24,51.549999,51.549999,51.549999,51.549999
2015-02-25,51.549999,51.549999,51.549999,51.549999
2015-02-26,52.790001,52.799999,52.790001,52.799999
2015-02-27,51.900002,51.91,51.900002,51.91
2015-03-02,50.369999,50.369999,49.990002,49.990002
2015-03-03,49.990002,49.990002,49.990002,49.990002
2015-03-04,49.810001,49.810001,49.799999,49.799999
2015-03-05,50.540001,50.540001,50.540001,50.540001
2015-03-06,50.540001,50.540001,50.540001,50.540001
2015-03-09,48.77,48.77,48.77,48.77
2015-03-10,48.77,48.77,48.77,48.77
2015-03-11,48.77,48.77,48.77,48.77
2015-03-12,48.77,48.77,48.77,48.77
2015-03-13,48.439999,48.439999,48.16,48.16
2015-03-16,49.220001,49.220001,49.220001,49.220001
2015-03-17,49.220001,49.220001,49.220001,49.220001
2015-03-18,49.82,49.82,49.82,49.82
2015-03-19,49.509998,49.509998,49.400002,49.400002
2015-03-20,49.400002,49.400002,49.400002,49.400002
2015-03-23,49.400002,49.400002,49.400002,49.400002
2015-03-24,51.66,51.889999,51.66,51.889999
2015-03-25,51.950001,51.950001,51.950001,51.950001
2015-03-26,50.639999,50.75,50.639999,50.75
2015-03-27,50.75,50.75,50.75,50.75
2015-03-30,50.75,50.75,50.75,50.75
2015-03-31,50.75,50.75,50.75,50.75
2015-04-01,48.849998,48.849998,48.849998,48.849998
2015-04-02,49.759998,49.759998,49.759998,49.759998
2015-04-06,51.27,51.27,51.130001,51.130001
2015-04-07,51.130001,51.130001,51.130001,51.130001
2015-04-08,51.130001,51.130001,51.130001,51.130001
2015-04-09,51.130001,51.130001,51.130001,51.130001
2015-04-10,51.130001,51.130001,51.130001,51.130001
2015-04-13,51.82,51.82,51.82,51.82
2015-04-14,51.82,51.82,51.82,51.82
2015-04-15,51.439999,51.849998,51.439999,51.849998
2015-04-16,51.700001,52.110001,51.700001,52.110001
2015-04-17,52.110001,52.110001,52.110001,52.110001
2015-04-20,52.110001,52.110001,52.110001,52.110001
2015-04-21,52.110001,52.110001,52.110001,52.110001
2015-04-22,52.110001,52.110001,52.110001,52.110001
2015-04-23,52.110001,52.110001,52.110001,52.110001
2015-04-24,52.110001,52.110001,52.110001,52.110001
2015-04-27,52.110001,52.110001,52.110001,52.110001
2015-04-28,51.919998,51.919998,51.919998,51.919998
2015-04-29,51.919998,51.919998,51.919998,51.919998
2015-04-30,50.610001,50.610001,50.610001,50.610001
2015-05-01,50.610001,50.610001,50.610001,50.610001
2015-05-04,50.610001,50.610001,50.610001,50.610001
2015-05-05,51.259998,51.259998,51.259998,51.259998
2015-05-06,52,52.02,52,52
2015-05-07,52,52,52,52
2015-05-08,52.599998,52.720001,52.599998,52.720001
2015-05-11,52.560001,52.599998,52.549999,52.59
2015-05-12,52.59,52.59,52.59,52.59
2015-05-13,51.880001,51.919998,51.880001,51.919998
2015-05-14,51.919998,51.919998,51.919998,51.919998
2015-05-15,51.919998,51.919998,51.919998,51.919998
2015-05-18,51.919998,51.919998,51.919998,51.919998
2015-05-19,51.919998,51.919998,51.919998,51.919998
2015-05-20,51.919998,51.919998,51.919998,51.919998
2015-05-21,51.919998,51.919998,51.919998,51.919998
2015-05-22,51.919998,51.919998,51.919998,51.919998
2015-05-26,51.59,51.599998,51.59,51.599998
2015-05-27,51.549999,51.549999,51.549999,51.549999
2015-05-28,51.549999,51.549999,51.549999,51.549999
2015-05-29,51.549999,51.549999,51.549999,51.549999
2015-06-01,51.549999,51.549999,51.549999,51.549999
2015-06-02,51.549999,51.549999,51.549999,51.549999
2015-06-03,51.549999,51.549999,51.549999,51.549999
2015-06-04,51.16,51.16,51.16,51.16
2015-06-05,51.16,51.16,51.16,51.16
2015-06-08,51.16,51.16,51.16,51.16
2015-06-09,51.369999,51.369999,51.360001,51.360001
2015-06-10,52.299999,52.299999,52.299999,52.299999
2015-06-11,51.900002,51.900002,51.900002,51.900002
2015-06-12,51.349998,51.349998,51.349998,51.349998
2015-06-15,51.349998,51.349998,51.349998,51.349998
2015-06-16,51.349998,51.349998,51.349998,51.349998
2015-06-17,51.349998,51.349998,51.349998,51.349998
2015-06-18,51.349998,51.349998,51.349998,51.349998
2015-06-19,51.349998,51.349998,51.349998,51.349998
2015-06-22,52.110001,52.150002,52.110001,52.150002
2015-06-23,52.150002,52.150002,52.150002,52.150002
2015-06-24,52.150002,52.150002,52.150002,52.150002
2015-06-25,52.150002,52.150002,52.150002,52.150002
2015-06-26,52.48,52.5,52.48,52.48
2015-06-29,51.279999,51.279999,50.810001,51.259998
2015-06-30,51.259998,51.259998,51.259998,51.259998
2015-07-01,51.259998,51.259998,51.259998,51.259998
2015-07-02,50.060001,50.060001,50.060001,50.060001
2015-07-06,50.32,50.32,50.32,50.32
2015-07-07,50.32,50.32,50.32,50.32
2015-07-08,50.32,50.32,50.32,50.32
2015-07-09,50.32,50.32,50.32,50.32
2015-07-10,50,50,50,50
2015-07-13,50,50,50,50
2015-07-14,51.43,51.43,51.400002,51.400002
2015-07-15,51.560001,51.720001,51.560001,51.720001
2015-07-16,51.720001,51.720001,51.720001,51.720001
2015-07-17,51.959999,51.959999,51.959999,51.959999
2015-07-20,51.959999,51.959999,51.959999,51.959999
2015-07-21,51.950001,51.950001,51.950001,51.950001
2015-07-22,51.43,51.43,51.43,51.43
2015-07-23,52.82,52.82,52.82,52.82
2015-07-24,52.82,52.82,52.82,52.82
2015-07-27,53.919998,53.919998,53.919998,53.919998
2015-07-28,53.919998,53.919998,53.919998,53.919998
2015-07-29,53.919998,53.919998,53.919998,53.919998
2015-07-30,53.919998,53.919998,53.919998,53.919998
2015-07-31,54.5,54.5,54.5,54.5
2015-08-03,54.5,54.5,54.5,54.5
2015-08-04,54.5,54.5,54.5,54.5
2015-08-05,54.5,54.5,54.5,54.5
2015-08-06,54.5,54.5,54.5,54.5
2015-08-07,54.5,54.5,54.5,54.5
2015-08-10,54.52,55.23,54.52,55.23
2015-08-11,54.360001,54.360001,54.360001,54.360001
2015-08-12,54.360001,54.360001,54.360001,54.360001
2015-08-13,54.360001,54.360001,54.360001,54.360001
2015-08-14,54.360001,54.360001,54.360001,54.360001
2015-08-17,56.290001,56.290001,56.290001,56.290001
2015-08-18,56.310001,56.310001,56.299999,56.299999
2015-08-19,56.349998,56.59,56.349998,56.59
2015-08-20,55.580002,55.580002,55.580002,55.580002
2015-08-21,54.560001,54.560001,54.560001,54.560001
2015-08-24,54.560001,54.560001,54.560001,54.560001
2015-08-25,54.560001,54.560001,54.560001,54.560001
2015-08-26,54.560001,54.560001,54.560001,54.560001
2015-08-27,53.830002,53.830002,53.830002,53.830002
2015-08-28,53.669998,53.689999,53.669998,53.689999
2015-08-31,53.619999,53.619999,53.16,53.279999
2015-09-01,53.279999,53.279999,53.279999,53.279999
2015-09-02,52.790001,52.790001,52.66,52.66
2015-09-03,53.389999,53.419998,53.389999,53.419998
2015-09-04,53.419998,53.419998,53.419998,53.419998
2015-09-08,53.110001,53.110001,53.110001,53.110001
2015-09-09,52.970001,52.970001,52.970001,52.970001
2015-09-10,52.380001,52.380001,52.369999,52.369999
2015-09-11,52.369999,52.369999,52.369999,52.369999
2015-09-14,52.369999,52.369999,52.369999,52.369999
2015-09-15,52.369999,52.369999,52.369999,52.369999
2015-09-16,52.369999,52.369999,52.369999,52.369999
2015-09-17,52.029999,52.25,52.029999,52.25
2015-09-18,52.25,52.25,52.25,52.25
2015-09-21,52.25,52.25,52.25,52.25
2015-09-22,52.25,52.25,52.25,52.25
2015-09-23,51.599998,51.599998,51.599998,51.599998
2015-09-24,51.599998,51.599998,51.599998,51.599998
2015-09-25,51.169998,51.459999,51.169998,51.459999
2015-09-28,51.240002,51.240002,51.240002,51.240002
2015-09-29,51.240002,51.240002,51.240002,51.240002
