Date,Open,High,Low,Close
2019-07-01,21.790001,22.370001,21.280001,21.389999
2019-07-02,21.370001,21.370001,20.870001,21.040001
2019-07-03,21.129999,21.459999,20.98,21.27
2019-07-05,21.219999,21.83,21.219999,21.700001
2019-07-08,21.690001,21.82,21.42,21.67
2019-07-09,21.57,21.959999,21.23,21.23
2019-07-10,21.35,21.389999,21.129999,21.18
2019-07-11,21.24,21.43,21.030001,21.4
2019-07-12,21.450001,22.209999,21.450001,21.91
2019-07-15,21.950001,22.389999,21.860001,22.040001
2019-07-16,22.040001,22.379999,21.92,22.030001
2019-07-17,22.01,22.02,21.4,21.52
2019-07-18,21.370001,21.6,21.09,21.549999
2019-07-19,21.6,22.280001,21.559999,22.1
2019-07-22,22.18,22.57,21.889999,22.09
2019-07-23,22.200001,22.690001,22.18,22.6
2019-07-24,22.610001,23.4,22.559999,23.25
2019-07-25,23.15,23.25,22.540001,22.77
2019-07-26,22.84,22.93,22.42,22.870001
2019-07-29,22.950001,23,22.33,22.690001
2019-07-30,22.59,22.67,22.040001,22.530001
2019-07-31,22.51,22.99,22.370001,22.73
2019-08-01,22.719999,22.85,21.08,21.209999
2019-08-02,21.15,21.58,21.030001,21.290001
2019-08-05,20.950001,20.98,19.799999,20.629999
2019-08-06,20.76,20.879999,20.41,20.85
2019-08-07,20.530001,20.66,20.15,20.440001
2019-08-08,20.549999,20.75,20.18,20.32
2019-08-09,20.280001,20.34,19.360001,19.43
2019-08-12,19.41,19.469999,18.950001,19.280001
2019-08-13,19.16,20.25,18.860001,19.360001
2019-08-14,16.4,17.190001,15.82,16.799999
2019-08-15,16.690001,16.940001,15.8,16.16
2019-08-16,16.25,16.42,15.9,15.98
2019-08-19,16.129999,16.299999,15.91,16.129999
2019-08-20,16.120001,16.16,15.36,15.36
2019-08-21,15.57,15.66,15.35,15.38
2019-08-22,15.6,15.87,15.47,15.56
2019-08-23,15.34,15.53,14.84,14.94
2019-08-26,15,15.09,14.68,14.71
2019-08-27,14.81,14.84,14.28,14.3
2019-08-28,14.25,14.76,14.2,14.62
2019-08-29,14.78,15.1,14.74,14.91
2019-08-30,14.97,15.25,14.71,14.76
2019-09-03,14.65,14.65,14.31,14.39
2019-09-04,14.55,14.95,14.52,14.91
2019-09-05,15.12,15.75,15.12,15.31
2019-09-06,15.58,15.66,15.31,15.39
2019-09-09,15.49,16.26,15.42,16.18
2019-09-10,16.299999,17.110001,16.26,17.1
2019-09-11,17.25,17.85,16.75,17.84
2019-09-12,17.309999,17.48,16.809999,17
2019-09-13,17.25,17.6,17.02,17.139999
2019-09-16,17.049999,17.469999,17.01,17.42
2019-09-17,17.120001,17.120001,16.51,16.629999
2019-09-18,16.58,16.709999,16.16,16.27
2019-09-19,16.540001,16.549999,15.67,15.72
2019-09-20,15.78,15.95,15.32,15.41
2019-09-23,15.3,15.66,15.17,15.54
2019-09-24,15.61,15.77,15.11,15.26
2019-09-25,15.29,15.82,15.21,15.54
2019-09-26,15.74,15.74,15.16,15.25
2019-09-27,15.5,15.73,15.12,15.29
2019-09-30,15.26,15.56,15.18,15.54
2019-10-01,15.62,15.85,15.27,15.55
2019-10-02,15.47,15.47,14.6,14.65
2019-10-03,14.56,14.85,14.11,14.8
2019-10-04,14.66,15.01,14.66,14.96
2019-10-07,15.05,15.39,14.85,15.03
2019-10-08,14.8,14.97,14.57,14.84
2019-10-09,14.94,15.11,14.88,14.91
2019-10-10,15.01,15.48,14.97,15.3
2019-10-11,15.48,15.9,15.45,15.72
2019-10-14,15.72,15.72,15.09,15.3
2019-10-15,15.39,15.98,15.31,15.69
2019-10-16,15.55,16.120001,15.5,15.78
2019-10-17,15.89,16.1,15.7,15.78
2019-10-18,15.23,15.48,14.9,15.12
2019-10-21,15.21,15.59,15.21,15.43
2019-10-22,15.61,15.93,15.14,15.86
2019-10-23,15.83,15.85,15.43,15.67
2019-10-24,15.67,15.69,15.19,15.39
2019-10-25,15.31,15.65,15.21,15.58
2019-10-28,15.66,15.72,15.45,15.45
2019-10-29,15.42,15.49,15.25,15.27
2019-10-30,15.24,15.4,14.88,15.12
2019-10-31,14.94,15.16,14.68,15.16
2019-11-01,15.25,15.75,15.21,15.58
2019-11-04,15.75,16.059999,15.71,15.85
2019-11-05,16.08,16.709999,16.030001,16.709999
2019-11-06,16.620001,16.700001,15.91,15.97
2019-11-07,16.309999,16.66,16.18,16.219999
2019-11-08,16.1,16.17,15.6,15.88
2019-11-11,15.85,16.299999,15.64,16.049999
2019-11-12,15.92,16.42,15.52,16.08
2019-11-13,15.95,16.16,15.74,16.07
2019-11-14,16.190001,16.6,16.09,16.24
2019-11-15,16.49,17.01,16.389999,16.85
2019-11-18,16.85,16.9,16.51,16.879999
2019-11-19,15.88,15.95,15,15.04
2019-11-20,15.19,15.24,14.86,15.02
2019-11-21,14.5,15.22,14.3,14.67
2019-11-22,14.75,15.46,14.58,15.43
2019-11-25,15.55,15.71,15.13,15.56
2019-11-26,15.59,15.85,15.36,15.37
2019-11-27,15.5,15.66,15.29,15.48
2019-11-29,15.5,15.5,15.26,15.32
2019-12-02,15.41,15.69,15.2,15.4
2019-12-03,15.16,15.16,14.84,14.87
2019-12-04,14.98,15.05,14.82,14.84
2019-12-05,14.9,15.26,14.9,15.11
2019-12-06,15.35,15.52,15.11,15.15
2019-12-09,14.87,15.61,14.76,15.48
2019-12-10,15.44,15.77,15.33,15.74
2019-12-11,15.78,15.96,15.65,15.7
2019-12-12,15.33,15.86,15.25,15.71
2019-12-13,15.75,15.75,15.17,15.18
2019-12-16,15.31,15.76,15.25,15.63
2019-12-17,15.58,16.18,15.48,16.030001
2019-12-18,16.190001,16.790001,16.059999,16.530001
2019-12-19,16.459999,16.51,15.96,16.08
2019-12-20,16.200001,16.299999,16.030001,16.200001
2019-12-23,16.299999,16.41,16.139999,16.200001
2019-12-24,16.24,16.33,16.09,16.120001
2019-12-26,16.23,16.540001,16.16,16.540001
2019-12-27,16.549999,16.67,16.43,16.51
2019-12-30,16.549999,16.940001,16.49,16.77
2019-12-31,16.719999,17.049999,16.639999,17
2020-01-02,17.18,17.27,16.389999,16.52
2020-01-03,16.32,16.610001,16.209999,16.530001
