Date,Open,High,Low,Close
2015-01-05,214.550003,216.5,207.160004,210.089996
2015-01-06,210.059998,214.199997,204.210007,211.279999
2015-01-07,213.350006,214.779999,209.779999,210.949997
2015-01-08,212.809998,213.800003,210.009995,210.619995
2015-01-09,208.919998,209.979996,204.960007,206.660004
2015-01-12,203.050003,204.470001,199.25,202.210007
2015-01-13,203.320007,207.610001,200.910004,204.25
2015-01-14,185.830002,195.199997,185,192.690002
2015-01-15,194.490005,195.75,190,191.869995
2015-01-16,190.699997,194.490005,189.649994,193.070007
2015-01-20,193.869995,194.119995,187.039993,191.929993
2015-01-21,189.550003,198.679993,189.509995,196.570007
2015-01-22,197,203.240005,195.199997,201.619995
2015-01-23,200.289993,203.5,198.330002,201.289993
2015-01-26,201.830002,208.619995,201.050003,206.550003
2015-01-27,204.419998,208.029999,203.300003,205.979996
2015-01-28,206.110001,206.369995,198.419998,199.369995
2015-01-29,201.070007,205.979996,196.5,205.199997
2015-01-30,203.960007,207.470001,203,203.600006
2015-02-02,203.970001,211.949997,203.300003,210.940002
2015-02-03,213.220001,220.369995,211.270004,218.360001
2015-02-04,218.289993,221.479996,216.800003,218.550003
2015-02-05,219.880005,225.479996,219.639999,220.990005
2015-02-06,222,223.399994,216.5,217.360001
2015-02-09,215.380005,217.929993,211.990005,217.479996
2015-02-10,217.550003,220.5,215,216.289993
2015-02-11,212.210007,214.740005,207.279999,212.800003
2015-02-12,193.570007,203.089996,193.279999,202.880005
2015-02-13,202.899994,205.990005,200.910004,203.770004
2015-02-17,205.699997,205.699997,201.5,204.350006
2015-02-18,204.169998,206.169998,202.600006,204.460007
2015-02-19,205,212.440002,203.75,211.710007
2015-02-20,210.779999,217.600006,209.809998,217.110001
2015-02-23,215.660004,218.199997,206.330002,207.339996
2015-02-24,207.289993,207.289993,201.699997,204.110001
2015-02-25,204.940002,207.139999,202.580002,203.759995
2015-02-26,204,211.089996,202.220001,207.190002
2015-02-27,206.899994,208.550003,202.800003,203.339996
2015-03-02,202.699997,203.339996,195.830002,197.330002
2015-03-03,196.809998,200.240005,195.320007,199.559998
2015-03-04,199.25,202.520004,197.210007,202.440002
2015-03-05,202.850006,206.190002,200.149994,200.630005
2015-03-06,199.210007,200.75,192.149994,193.880005
2015-03-09,194.389999,194.490005,188.25,190.880005
2015-03-10,188.460007,193.5,187.600006,190.320007
2015-03-11,191.149994,196.179993,191.009995,193.740005
2015-03-12,193.75,194.449997,189.75,191.070007
2015-03-13,188.949997,191.75,187.320007,188.679993
2015-03-16,192,195.910004,189.800003,195.699997
2015-03-17,195.429993,198.710007,193.940002,194.729996
2015-03-18,194.960007,200.880005,193.110001,200.710007
2015-03-19,202,204.589996,194.529999,195.649994
2015-03-20,197.449997,198.990005,195.619995,198.080002
2015-03-23,198.5,200.5,197.470001,199.630005
2015-03-24,201.580002,203.789993,199.75,201.720001
2015-03-25,198.270004,198.589996,192.699997,194.300003
2015-03-26,193.919998,194.789993,189.699997,190.410004
2015-03-27,189.070007,189.289993,181.399994,185
2015-03-30,185.850006,192.25,181.800003,190.570007
2015-03-31,193.529999,193.759995,188.410004,188.770004
